,anxiety_disorders,autism_adhd_disorders,depressive_disorders,eating_disorders,neurocognitive_disorders,personality_disorders,psychotic_disorders
anxiety_disorders,2,2,1,0,2,0,0
autism_adhd_disorders,0,1,0,0,2,0,1
depressive_disorders,0,0,3,1,2,0,1
eating_disorders,0,1,0,0,2,0,0
neurocognitive_disorders,4,0,1,0,16,0,4
personality_disorders,0,1,0,1,4,0,2
psychotic_disorders,0,0,0,0,3,0,4
