model,epochs,embedding_dim,batch_size,learning_rate,device,mr,mrr,hits_at_1,hits_at_3,hits_at_10
RotatE,30,64,256,0.001,cpu,129.048583984375,0.16317056119441986,0.09109311740890688,0.1659919028340081,0.31983805668016196
TransE,30,64,256,0.001,cpu,263.3481750488281,0.015849603340029716,0.0,0.008097165991902834,0.03441295546558704
